cost,terrain,q,r
1,Jungle,-3,3
1,Jungle,-2,3
1,Jungle,-1,3
1,Jungle,0,3
1,Jungle,-3,2
1,Jungle,-2,2
1,Jungle,-1,2
1,Jungle,0,2
1,Jungle,1,2
1,Jungle,-3,1
1,Jungle,-2,1
1,Water,-1,1
1,Jungle,0,1
1,Jungle,1,1
1,Jungle,2,1
1,Water,-3,0
1,Jungle,-2,0
1,Desert,-1,0
1,Jungle,0,0
1,Desert,1,0
1,Jungle,2,0
1,Jungle,3,0
1,Jungle,-2,-1
1,Desert,-1,-1
1,Jungle,0,-1
1,Jungle,1,-1
1,Jungle,2,-1
1,Jungle,3,-1
1,Jungle,-1,-2
1,Jungle,0,-2
1,Desert,1,-2
99,Cave,2,-2
1,Jungle,3,-2
1,Jungle,0,-3
1,Water,1,-3
1,Village,2,-3
1,Water,3,-3
