cost,terrain,q,r
1,Jungle,-3,3
1,Jungle,-2,3
1,Jungle,-1,3
2,Jungle,0,3
1,Jungle,-3,2
1,Water,-2,2
1,Water,-1,2
1,Water,-0,2
1,Jungle,1,2
1,Jungle,-3,1
1,Water,-2,1
1,Water,-1,1
2,Water,0,1
1,Water,1,1
1,Jungle,2,1
2,Jungle,-3,0
1,Water,-2,0
2,Water,-1,0
99,Cave,0,0
1,Jungle,1,0
1,Jungle,2,0
2,Jungle,3,0
1,Jungle,-2,-1
1,Water,-1,-1
1,Jungle,0,-1
99,Invalid,1,-1
3,Desert,2,-1
1,Jungle,3,-1
1,Jungle,-1,-2
1,Jungle,0,-2
3,Desert,1,-2
1,Desert,2,-2
99,Invalid,3,-2
2,Jungle,0,-3
1,Jungle,1,-3
99,Invalid,2,-3
3,Water,3,-3
