cost,terrain,q,r
99,Invalid,-3,3
1,Swamp,-2,3
1,Swamp,-1,3
1,Jungle,0,3
1,Swamp,-3,2
99,Invalid,-2,2
2,Jungle,-1,2
2,Water,-0,2
1,Jungle,1,2
1,Jungle,-3,1
1,Swamp,-2,1
3,Swamp,-1,1
1,Swamp,0,1
99,Invalid,1,1
1,Jungle,2,1
1,Jungle,-3,0
2,Jungle,-2,0
3,Jungle,-1,0
1,Water,0,0
1,Jungle,1,0
2,Jungle,2,0
1,Swamp,3,0
1,Swamp,-2,-1
1,Jungle,-1,-1
99,Invalid,0,-1
1,Water,1,-1
1,Water,2,-1
1,Jungle,3,-1
1,Jungle,-1,-2
2,Jungle,0,-2
1,Jungle,1,-2
99,Cave,2,-2
1,Desert,3,-2
1,Village,0,-3
1,Desert,1,-3
1,Desert,2,-3
1,Desert,3,-3
