cost,terrain,q,r
1,Village,-3,3
2,Jungle,-2,3
1,Swamp,-1,3
2,Village,0,3
1,Jungle,-3,2
3,Jungle,-2,2
1,Jungle,-1,2
2,Water,-0,2
2,Water,1,2
1,Swamp,-3,1
1,Desert,-2,1
2,Swamp,-1,1
1,Jungle,0,1
1,Jungle,1,1
1,Swamp,2,1
1,Swamp,-3,0
1,Desert,-2,0
2,Desert,-1,0
99,Invalid,0,0
2,Jungle,1,0
1,Jungle,2,0
1,Swamp,3,0
1,Swamp,-2,-1
1,Jungle,-1,-1
2,Water,0,-1
3,Water,1,-1
1,Water,2,-1
1,Swamp,3,-1
2,Jungle,-1,-2
1,Jungle,0,-2
99,Invalid,1,-2
1,Water,2,-2
1,Water,3,-2
1,Jungle,0,-3
99,Invalid,1,-3
99,Cave,2,-3
1,Water,3,-3
