cost,terrain,q,r
1,Jungle,-3,3
1,Jungle,-2,3
1,Jungle,-1,3
1,Jungle,0,3
1,Jungle,-3,2
2,Jungle,-2,2
1,Desert,-1,2
99,Invalid,-0,2
1,Jungle,1,2
1,Desert,-3,1
2,Desert,-2,1
2,Desert,-1,1
1,Swamp,0,1
1,Desert,1,1
1,Jungle,2,1
99,Invalid,-3,0
99,Cave,-2,0
4,Desert,-1,0
3,Desert,0,0
2,Desert,1,0
2,Jungle,2,0
1,Village,3,0
1,Desert,-2,-1
2,Desert,-1,-1
2,Desert,0,-1
1,Swamp,1,-1
1,Desert,2,-1
1,Jungle,3,-1
1,Jungle,-1,-2
2,Jungle,0,-2
1,Desert,1,-2
99,Invalid,2,-2
1,Jungle,3,-2
1,Jungle,0,-3
1,Jungle,1,-3
1,Jungle,2,-3
1,Jungle,3,-3
