cost,terrain,q,r
1,Jungle,-3,3
2,Jungle,-2,3
2,Jungle,-1,3
2,Jungle,0,3
1,Desert,-3,2
1,Jungle,-2,2
1,Jungle,-1,2
1,Jungle,-0,2
2,Jungle,1,2
2,Desert,-3,1
2,Desert,-2,1
1,Desert,-1,1
1,Desert,0,1
1,Jungle,1,1
2,Jungle,2,1
3,Desert,-3,0
99,Cave,-2,0
2,Desert,-1,0
2,Desert,0,0
1,Desert,1,0
1,Jungle,2,0
1,Jungle,3,0
2,Desert,-2,-1
2,Desert,-1,-1
1,Desert,0,-1
1,Desert,1,-1
1,Water,2,-1
2,Water,3,-1
1,Desert,-1,-2
1,Water,0,-2
1,Water,1,-2
1,Water,2,-2
2,Water,3,-2
1,Water,0,-3
2,Water,1,-3
2,Water,2,-3
2,Water,3,-3
