cost,terrain,q,r
2,Water,-3,3
2,Water,-2,3
1,Water,-1,3
1,Jungle,0,3
2,Water,-3,2
1,Water,-2,2
1,Water,-1,2
1,Jungle,-0,2
1,Jungle,1,2
2,Desert,-3,1
3,Swamp,-2,1
99,Invalid,-1,1
99,Invalid,0,1
2,Jungle,1,1
1,Jungle,2,1
1,Desert,-3,0
2,Desert,-2,0
1,Jungle,-1,0
2,Jungle,0,0
3,Village,1,0
99,Invalid,2,0
99,Cave,3,0
1,Desert,-2,-1
2,Desert,-1,-1
1,Jungle,0,-1
99,Invalid,1,-1
2,Jungle,2,-1
1,Jungle,3,-1
1,Desert,-1,-2
1,Jungle,0,-2
99,Invalid,1,-2
1,Jungle,2,-2
1,Jungle,3,-2
1,Jungle,0,-3
1,Jungle,1,-3
1,Jungle,2,-3
1,Jungle,3,-3
