cost,terrain,q,r
1,Desert,-3,3
1,Desert,-2,3
1,Desert,-1,3
2,Swamp,0,3
1,Desert,-3,2
2,Desert,-2,2
2,Desert,-1,2
99,Cave,-0,2
1,Swamp,1,2
1,Desert,-3,1
2,Desert,-2,1
1,Jungle,-1,1
1,Jungle,0,1
2,Swamp,1,1
1,Swamp,2,1
1,Desert,-3,0
1,Desert,-2,0
2,Jungle,-1,0
1,Village,0,0
1,Jungle,1,0
2,Swamp,2,0
1,Swamp,3,0
1,Water,-2,-1
2,Water,-1,-1
1,Jungle,0,-1
2,Jungle,1,-1
2,Swamp,2,-1
1,Swamp,3,-1
1,Water,-1,-2
99,Invalid,0,-2
2,Water,1,-2
1,Water,2,-2
2,Swamp,3,-2
1,Water,0,-3
1,Water,1,-3
1,Water,2,-3
1,Water,3,-3
