cost,terrain,q,r
1,Jungle,-3,3
2,Jungle,-2,3
2,Jungle,-1,3
1,Village,0,3
2,Jungle,-3,2
1,Jungle,-2,2
4,Desert,-1,2
1,Jungle,-0,2
1,Jungle,1,2
2,Jungle,-3,1
1,Jungle,-2,1
3,Jungle,-1,1
1,Jungle,0,1
2,Jungle,1,1
1,Jungle,2,1
2,Jungle,-3,0
1,Jungle,-2,0
3,Jungle,-1,0
1,Jungle,0,0
3,Jungle,1,0
1,Jungle,2,0
2,Jungle,3,0
1,Jungle,-2,-1
2,Jungle,-1,-1
1,Jungle,0,-1
3,Jungle,1,-1
1,Jungle,2,-1
2,Jungle,3,-1
1,Jungle,-1,-2
1,Jungle,0,-2
3,Water,1,-2
1,Jungle,2,-2
2,Jungle,3,-2
1,Village,0,-3
2,Jungle,1,-3
2,Jungle,2,-3
1,Jungle,3,-3
