cost,terrain,q,r
2,Jungle,-3,3
2,Jungle,-2,3
1,Jungle,-1,3
99,Invalid,0,3
2,Desert,-3,2
2,Village,-2,2
2,Desert,-1,2
1,Jungle,-0,2
1,Jungle,1,2
1,Jungle,-3,1
2,Jungle,-2,1
2,Jungle,-1,1
1,Jungle,0,1
2,Jungle,1,1
1,Jungle,2,1
2,Jungle,-3,0
1,Jungle,-2,0
99,Invalid,-1,0
1,Jungle,0,0
99,Cave,1,0
1,Jungle,2,0
2,Jungle,3,0
2,Jungle,-2,-1
1,Jungle,-1,-1
1,Jungle,0,-1
3,Jungle,1,-1
1,Jungle,2,-1
2,Jungle,3,-1
1,Jungle,-1,-2
1,Water,0,-2
1,Water,1,-2
3,Jungle,2,-2
1,Jungle,3,-2
1,Water,0,-3
1,Village,1,-3
1,Village,2,-3
3,Jungle,3,-3
