cost,terrain,q,r
1,Water,-3,3
1,Water,-2,3
1,Jungle,-1,3
1,Jungle,0,3
1,Jungle,-3,2
1,Jungle,-2,2
1,Jungle,-1,2
2,Swamp,-0,2
1,Jungle,1,2
99,Invalid,-3,1
99,Invalid,-2,1
99,Invalid,-1,1
99,Invalid,0,1
2,Swamp,1,1
1,Jungle,2,1
99,Invalid,-3,0
1,Jungle,-2,0
1,Jungle,-1,0
2,Swamp,0,0
1,Jungle,1,0
1,Jungle,2,0
99,Invalid,3,0
1,Jungle,-2,-1
2,Desert,-1,-1
1,Jungle,0,-1
1,Jungle,1,-1
1,Water,2,-1
99,Cave,3,-1
1,Jungle,-1,-2
4,Desert,0,-2
99,Invalid,1,-2
99,Invalid,2,-2
4,Water,3,-2
1,Jungle,0,-3
1,Jungle,1,-3
1,Jungle,2,-3
1,Village,3,-3
